a art.一(个);每一(个)
advanced a.先进的;高级的
advantage n.优点,优势;好处
adventure n.冒险;惊险活动
adverb n.副词
advertisement n.广告;公告;登广告
advice n.劝告;忠告;意见
advisable n.明智的;可取的
advise vt.劝告;建议;通知
aeroplane n.飞机
affair n.事情,事件;事务
affect vt.影响;感动
affection n.慈爱,爱;爱慕
afford vt.担负得起…;提供
afraid a.害怕的;担心的
Africa n.非洲
African a.非洲的 n.非洲人
after prep.在…以后;次于
afternoon n.下午,午后
afterward ad.后来,以后
again ad.又一次;而且
against prep.倚在;逆,对着
age n.年龄;时代 vt.变老
agency n.经办;代理;代理处
agent n.代理人,代理商
aggressive a.侵略的;好斗的
ago ad.以前
agony n.极度痛苦
agree vi.同意;持相同意见
agreement n.协定,协议;同意
agriculture n.农业,农艺;农学
ahead ad.在前;向前;提前
aid n.帮助,救护;助手
aim vi.瞄准,针对;致力
air n.空气;空中;外观
aircraft n.飞机,飞行器
airline n.航空公司;航线
airplane n.飞机
airport n.机场,航空站
alarm n.惊恐,忧虑;警报
alcohol n.酒精,乙醇
alike a.同样的,相同的
alive a.活着的;活跃的
all a.全部的 prep.全部
allow vt.允许,准许;任
alloy n.合金;(金属的)成色
almost ad.几乎,差不多
alone a.单独的 ad.单独地
along prep.沿着 ad.向前
aloud ad.出声地,大声地
alphabet n.字母表,字母系统
already ad.早已,已经
also ad.亦,也;而且,还
alter vt.改变,变更;改做
alternative n.替换物;取舍,抉择
although conj.尽管,虽然
altitude n.高,高度;高处
altogether ad.完全;总而言之
aluminium n.铝
always ad.总是,一直;永远
a.m (缩)上午,午前
amaze vt.使惊奇,使惊愕
ambition n.雄心,抱负,野心
ambulance n.救护车;野战医院
America n.美洲;美国
American a.美洲的 n.美国人
among prep.在…之中
amongst prep在…之中(=among)
amount n.总数;数量;和
ampere n.安培
amplify vt.放大,增强;扩大
amuse vt.逗…乐;给…娱乐
analyse vt.分析,分解,解析
analysis n.分析,分解,解析
ancestor n.祖宗,祖先
anchor n.锚 vi.抛锚,停泊
ancient a.古代的,古老的
and conj.和,又,并,则
angel n.天使,神差,安琪儿
anger n.怒,愤怒 vt.使发怒
angle n.角,角度
angry a.愤怒的,生气的
animal n.动物,兽 a.动物的
ankle n.踝,踝节部
announce vt.宣布,宣告,发表
announcer n.宣告者;播音员
annoy vt.使恼怒;打搅
annual a.每年的 n.年报
another a.再一个的;别的
answer vt.回答;响应;适应
ant n.蚂蚁
anticipate vt.预料,预期,期望
anxiety n.焦虑,忧虑;渴望
anxious a.忧虑的;渴望的
any a.什么,一些;任何的
anybody prep.任何人
anyhow ad.无论如何
anyone pron.任何人
anything pron.任何事物;一切
anyway ad.无论如何
anywhere ad.在什么地方
apart ad.相隔;分开;除去
apartment n.一套公寓房间
apologize vi.道歉,谢罪,认错
apology n.道歉,认错,谢罪
apparatus n.器械,仪器;器官
apparent a.表面上的;明显的
appeal vi.&n.呼吁;申述
appear vi.出现;来到;似乎
appearance n.出现,来到;外观
appetite n.食欲,胃口;欲望
apple n.苹果,苹果树
appliance n.用具,器具,器械
applicable a.能应用的;适当的
application n.请求,申请;施用
apply vt.应用,实施,使用
appoint vt.任命,委任;约定
appointment n.任命;约定,约会
appreciate vt.欣赏;领会;感谢
approach vt.向…*近 n.*近
appropriate a.适当的,恰当的
approval n.赞成,同意;批准
approve vt.赞成,称许;批准
approximate a.近似的 vt.近似
approximately ad.近似地,大约
April n.四月
Arabian a.阿拉伯的
arbitrary a.随心所欲的;专断的
architecture n.建筑学;建筑式样
area n.面积;地区;领域
argue vi.争论,争辩,辩论
argument n.争论,辩论;理由
arise vi.出现;由…引起
arithmetic n.算术,四则运算
arm n.臂;臂状物;武器
army n.军队;陆军
around prep.在…周围
arouse vt.引起,唤起;唤醒
arrange vt.筹备;整理;调解
arrangement n.整理,排列;安排
arrest vt.逮捕,拘留;阻止
arrival n.到达;到来;到达者
arrive vi.到达;来临;达到
arrow n.箭;箭状物
art n.艺术,美术;技术
article n.文章;条款;物品
artificial a.人工的;娇揉造作的
artist n.艺术家,美术家
artistic a.艺术的;艺术家的
as conj.当…的时候
ash n.灰,灰末;骨灰
ashamed a.惭愧(的);羞耻(的)
Asia n.亚洲
Asian a.亚洲的 n.亚洲人
aside ad.在旁边,到旁边
ask vt.问;要求;邀请
asleep a.睡着的,睡熟的
aspect n.方面;样子,外表
assemble vt.集合,召集;装配
assembly n.集合;集会;装配
assess vt.对(财产等)估价
assign vt.指派;分配;指定
assignment n.任务,指定的作业
assist vt.援助,帮助;搀扶
assistant n.助手,助理;助教
associate vi.交往 n.伙伴,同事
association n.协会,团体;联合
assume vt.假定;承担;呈现
assure vt.使确信;向…保证
astonish vt.使惊讶,使吃惊
astronaut n.宇宙航行员,宇航员
at prep.在…里;在…时
athlete n.运动员;田径运动员
Atlantic a.大西洋的 n.大西洋
atmosphere n.大气;空气;气氛
atmospheric a.大气的;大气层的
atom n.原子;微粒;微量
atomic a.原子的;原子能的
attach vt.缚,系,贴;附加
attack vt.&vi.&n.攻击,进攻
attain vt.达到,获得,完成
attempt vt.尝试,试图 n.企图
attend vt.出席;照顾,护理
attention n.注意,留心;注意力
attentive a.注意的;有礼貌的
attitude n.态度,看法;姿势
attract vt.吸引;引起,诱惑
attraction n.吸引;吸引力;引力
attractive a.有吸引力的
attribute vt.把…归因于 n.属性
audience n.听众,观众,读者
August n.八月
aunt n.伯母,婶母,姑母
aural a.耳的,听觉的
Australia n.澳大利亚
Australian a.澳大利亚的
author n.作者,作家
authority n.当局,官方;权力
auto n.(口语)汽车
automatic a.自动的;机械的
automation n.自动,自动化
automobile n.汽车,机动车
autumn n.秋,秋季
auxiliary a.辅助的;附属的
available a.可利用的;通用的
avenue n.林荫道,道路;大街
average n.平均数 a.平均的
aviation n.航空,航空学
avoid vt.避免,躲开;撤消
await vt.等候,期待
awake a.醒着的 vt.唤醒
award n.奖,奖品;判定
aware a.知道的,意识到的
away ad.离开,远离;…去
awful a.令人不愉快的
awfully ad.令人畏惧的;很
awkward a.笨拙的;尴尬的
ax n.斧子
axis n.轴,轴线;中心线
baby n.婴儿;孩子气的人
back ad.在后;回原处;回
background n.背景,后景,经历
backward a.向后的;倒的 ad.倒
bacteria n.细菌
bad a.坏的,恶的;严重的
badly ad.坏,差;严重地
badminton n.羽毛球
bag n.袋,包,钱包,背包
baggage n.行李
bake vt.烤,烘,焙;烧硬
balance vt.使平衡;称 n.天平
ball n.球,球状物;舞会
balloon n.气球,玩具气球
banana n.香蕉;芭蕉属植物
band n.乐队;带;波段
bang n.巨响,枪声;猛击
bank n.银行;库;岩,堤
banner n.旗,旗帜,横幅
bar n.酒吧间;条,杆;栅
barber n.理发师
bare a.赤裸的;仅仅的
bargain n.交易 vi.议价;成交
bark n.吠叫声 vi.吠,叫
barn n.谷仓;牲口棚
barrel n.桶;圆筒;枪管
barrier n.栅栏,屏障;障碍
base n.基础,底层;基地
basic a.基本的,基础的
basically ad.基本上
basin n.盆,洗脸盆;盆地
basis n.基础,根据
basket n.篮,篓,筐
basketball n.篮球;篮球运动
bat n.球拍;短棍;蝙蝠
bath n.浴,洗澡;浴缸
bathe vt.给…洗澡;弄湿
bathroom n.浴室;盥洗室
battery n.电池;一套,一组
battle n.战役;斗争 vi.作战
bay n.湾;山脉中的凹处
B.C. (缩)公元前
be aux.v.&vi.是,在,做
beach n.海滩,湖滩,河滩
beam n.梁;横梁;束,柱
bean n.豆,蚕豆
bear n.熊;粗鲁的人
bear vt.容忍;负担;生育
beard n.胡须,络腮胡子
beast n.兽,野兽;牲畜
beat vt.&vi.打,敲;打败
beautiful a.美的,美丽的
beauty n.美,美丽;美人
because conj.由于,因为
become vi.变成;成为,变得
bed n.床,床位;圃;河床
bee n.蜂,密蜂;忙碌的人
beef n.牛肉;菜牛
beer n.啤酒
before prep.在…以前;向…
beg vt.&vi.乞求;请求
beggar n.乞丐,穷人
begin vi.开始 vt.开始
beginner n.初学者,生手
beginning n.开始,开端;起源
behalf n.利益,维护,支持
behave vi.表现,举止;运转
behavior n.行为,举止,态度
behind prep.在…后面
being n.存在;生物;生命
belief n.信任,相信;信念
believe vt.相信;认为
bell n.钟,铃,门铃;钟声
belong vi.属于,附属
beloved a.为…的爱的 n.爱人
below prep.在…下面(以下)
belt n.带,腰带;皮带;区
bench n.长凳,条凳;工作台
bend vt.使弯曲 vi.弯曲
beneath prep.在…下方
beneficial a.有利的,有益的
benefit n.利益;恩惠;津贴
berry n.浆果(如草莓等)
beside prep.在…旁边
besides ad.而且prep.除…之外
best a.最好的;最大的
bet vt.&vi.&n.打赌
betray vt.背叛;辜负;泄漏
better a.较好的 ad.更好地
between prep.在…中间
beyond prep.在…的那边
Bible n.基督教《圣经》
bicycle n.自行车,脚踏车
big a.大的,巨大的
bike n.自行车 vi.骑自行车
bill n.账单;招贴;票据
billion num.万亿(英)
bind vt.捆绑;包扎;装钉
biology n.生物学;生态学
bird n.鸟,禽
birth n.分娩,出生;出身
birthday n.生日,诞生的日期
biscuit n.(英)饼干;(美)软饼
bit n.一点,一些,小片
bite vt.咬,叮,螫;剌穿
bitter a.痛苦的;严寒的
bitterly ad.苦苦地;悲痛地
black a.黑色的;黑暗的
blackboard n.黑板
blade n.刀刃,刀片;叶片
blame vt.责备,把…归咎于
blank a.空白的 n.空白
blanket n.毛毯,毯子,羊毛毯
blast n.爆炸,冲击波 vt.炸
blaze n.火;闪光 vi.燃烧
bleed vi.出血,流血;泌脂
blend vt.&vi.&n.混和
bless vt.为…祝福
blind a.瞎的;盲目的
block n.街区 vt.堵塞,拦阻
blood n.血,血液;血统
bloom n.花;开花,开花期
blossom n.花,开花 vi.开花
blow vi.吹,吹动;吹响
blue a.蓝色的 n.蓝色
board n.板 vt.上(船、车等)
boast vi.自夸 vt.吹嘘
boat n.小船,艇;渔船
body n.身体;主体;尸体
boil vi.沸腾;汽化vt.煮沸
bold a.大胆的;冒失的
bolt n.螺栓;插销 vt.闩门
bomb n.炸弹 vt.轰炸
bond n.联结,联系;公债
bone n.骨,骨骼
book n.书,书籍 vt.预定
boot n.靴子,长统靴
booth n.货摊;公用电话亭
border n.边,边缘;边界
bore vt.使厌烦;钻,挖
born a.天生的;出生的
borrow vt.借,借用,借人
bosom n.胸,胸部;内心
boss n.老板,上司 vt.指挥
both pron.两者(都)
bother vt.烦扰,迷惑 n.麻烦
bottle n.瓶,酒瓶;一瓶
bottom n.底,底部,根基
bough n.树枝
bounce vi.反跳,弹起;跳起
bound a.一定的;有义务的
boundary n.分界线,办界
bow n.弓;蝴蝶结;鞠躬
bowl n.碗,钵;碗状物
box n.箱,盒;包箱
box vi.拳击,打拳
boy n.男孩,少年;家伙
brain n.脑,脑髓;脑力
brake n.闸,刹车 vi.制动
branch n.树枝;分部;分科
brand n.商品;烙印 vt.铭刻
brandy n.白兰地酒
brass n.黄铜;黄铜器
brave a.勇敢的,华丽的
bread n.面包;食物,粮食
breadth n.宽度,幅度;幅面
break vt.打破;损坏;破坏
breakfast n.早饭,早餐
breast n.乳房;胸脯,胸膛
breath n.气息,呼吸;气味
breathe vi.呼吸 vt.呼吸
breed n.品种 vt.使繁殖
breeze n.微风,和风
brick n.砖,砖块;砖状物
bridge n.桥,桥梁;桥牌
brief a.简短的;短暂的
bright a.明亮的;聪明的
brighten vt.使发光;使快活
brilliant a.光辉的;卓越的
brim n.边,边缘;帽沿
bring vt.带来;引出;促使
brisk a.活泼的;清新的
bristle n.短而硬的毛;鬃毛
Britain n.不列颠,英国
British a.不列颠的,英联邦的
brittle a.脆的;易损坏的
broad a.宽的,阔的;广泛的
broadcast n.广播,播音
broken a.被打碎的,骨折的
bronze n.青铜;青铜制品
brood n.同窝幼鸟 vt.孵(蛋)
brook n.小河,溪流
broom n.扫帚
brother n.兄弟;同事,同胞
brow n.额;眉,眉毛
brown n.褐色,棕色
bruise n.青肿,伤痕;擦伤
brush n.刷子,毛刷;画笔
brute n.禽兽,畜生
bubble n.泡 vi.冒泡,沸腾
bucket n.水桶;吊桶;铲斗
bud n.芽,萌芽;蓓蕾
build vt.建筑;建立;创立
building n.建筑物,大楼;建筑
bulb n.电灯泡;球状物
bulk n.物体,容积,大批
bull n.公牛;雄的象
bullet n.枪弹,子弹,弹丸
bunch n.束,球,串;一群
bundle n.捆,包,束;包袱
burden n.担子,重担;装载量
bureau n.局,司,处;社,所
burn vi.烧,燃烧 n.烧伤
burst vt.使爆裂 vi.&n.爆炸
bury vt.埋葬,葬;埋藏
bus n.公共汽车
bush n.灌木,灌木丛,矮树
business n.商业,生意;事务
busy a.忙的,繁忙的
but conj.但是,可是
butcher n.屠夫;屠杀者
butter n.黄油;奶油
butterfly n.蝴蝶
button n.扣子;按钮 vt.扣紧
buy vt.买,购买 vi.买
by prep.在…旁;被,由
cabbage n.洋白菜,卷心菜
cabin n.小屋;船舱,机舱
cabinet n.橱,柜;内阁
cable n.缆,索;电缆;电报
cafe n.咖啡馆;小餐厅
cafeteria n.自助食堂
cage n.笼;鸟笼,囚笼
cake n.饼,糕,蛋糕
calculate vt.计算;估计;计划
calculation n.计算,计算结果
calculator n.计算器,计算者
calendar n.日历,历书;历法
call vt.把…叫做;叫,喊
calm a.静的,平静的
camel n.骆驼
camera n.照相机,摄影机
camp n.野营,营地,兵营
campaign n.战役;运动
campus n.校园,学校场地
can aux.v.能,会,可能
can n.罐头,听头;容器
Canada n.加拿大
Canadian a.加拿大的
canal n.运河;沟渠;管
cancel vt.取消,撤消;删去
cancer n.癌,癌症,肿瘤
candidate n.候选人;投考者
candle n.蜡烛;烛形物;烛光
candy n.糖果;砂糖结晶
cannon n.大炮,火炮;榴弹炮
canoe n.独木舟,皮艇,划子
canteen n.小卖部;临时餐室
canvas n.粗帆布;一块油画布
cap n.帽子,便帽;帽状物
capable a.有能力的,有才能的
capacity n.容量;能力;能量
capital n.资本,资金;首都
captain n.陆军上尉;队长
captive n.俘虏,被监禁的人
capture vt.捕获,俘获;夺得
car n.汽车,小汽车,轿车
carbon n.碳
card n.卡,卡片,名片
care vi.关心,介意 n.小心
career n.生涯,职业,经历
careful a.仔细的;细致的
careless a.粗心的,漫不经心的
cargo n.船货,货物
carpenter n.木工,木匠
carpet n.地毯,毡毯,毛毯
carriage n.客车厢;四轮马车
carrier n.运输工具;运载工具
carrot n.胡罗卜
carry vt.携带;运载;传送
cart n.二轮运货马车
carve vt.刻,雕刻;切开
case n.情况;事实;病例
case n.箱(子),盒(子),套
cash n.现金,现款
cassette n.盒式录音带;盒子
cast vt.投,扔,抛;浇铸
castle n.城堡;巨大建筑物
casual a.偶然的;随便的
cat n.猫,猫科,猫皮
catalog n.目录,目录册
catch vt.捉住;赶上;领会
cathedral n.总教堂;大教堂
cattle n.牛;牲口,家畜
cause n.原因,理由;事业
cave n.山洞,洞穴,窑洞
cease vi.&vi.&n.停止,停息
ceiling n.天花板,顶蓬
celebrate vt.庆祝;歌颂,赞美
cell n.细胞;小房间
cellar n.地窑,地下室
cement n.水泥;胶泥 vt.粘结
cent n.分;分币;百
centigrade a.百分度的
centimetre n.公分,厘米
central a.中心的;主要的
centre n.中心;中枢 vt.集中
century n.世纪,百年
ceremony n.典礼,仪式;礼节
certain a.确实的;肯定的
certainly ad.一定,必定;当然
certainty n.必然;肯定
certificate n.证书,证件,执照
chain n.链,链条,项圈
chair n.椅子;主席
chairman n.主席;议长,会长
chalk n.白垩;粉笔
challenge n.挑战;要求,需要
chamber n.会议室;房间;腔
champion n.冠军,得胜者
chance n.机会,机遇;可能性
change n.改变,变化;零钱
channel n.海峡;渠道;频道
chapter n.章,回,篇
character n.性格;特性;角色
characteristic a.特有的 n.特性
charge vt.索价;控告 n.费用
charity n.施舍;慈善事业
charming a.迷人的,可爱的
chart n.图,图表;海图
chase n.追逐,追赶,追求
cheap a.廉价的;劣质的
cheat vt.骗取;哄 vi.行骗
check vt.检查;制止 n.检查
cheek n.面颊,脸蛋
cheer vt.使振作;欢呼
cheerful a.快乐的,愉快的
cheese n.乳酪,干酪
chemical a.化学的 n.化学制品
chemist n.化学家;药剂师
chemistry n.化学
cheque n.支票
cherry n.樱桃;樱桃树
chess n.棋;国际象棋
chest n.胸腔,胸膛;箱子
chew vt.咀嚼,嚼碎
chicken n.小鸡,小鸟;鸡肉
chief a.主要的;首席的
child n.小孩,儿童;儿子
childhood n.童年,幼年;早期
childish a.孩子的;幼稚的
chill vt.使变冷 n.寒冷
chimney n.烟囱,烟筒;玻璃罩
chin n.颏,下巴
China n.中国
china n.瓷器,瓷料
Chinese a.中国的 n.中国人
chocolate n.巧克力;巧克力糖
choice n.选择,抉择
choke vt.使窒息;塞满
choose vt.选择,挑选;情愿
chop vt.砍,劈;切细vi.砍
Christian n.基督教徒;信徒
Christmas n.圣诞节
church n.教堂,礼拜堂;教会
cigarette n.香烟,纸烟,卷烟
cinema n.电影院;电影,影片
circle n.圆,圆周;圈子
circuit n.电路;环行;巡行
circular a.圆的;循环的
circulate vt.使循环 vi.循环
circumference n.圆周,周长,圆周线
circumstance n.情况,条件;境遇
citizen n.公民;市民,居民
city n.城市,都市
civil a.公民的;文职的
civilization n.文明,文化;开化
civilize vt.使文明;教育
claim vt.声称,主张;索取
clap vi.拍手 vt.拍,轻拍
clarify vt.澄清,阐明
clasp n.扣子,钩子;别针
class n.班,班级;阶级
classical a.古典的;经典的
classification n.分类;分级;分类法
classify vt.把…分类
classmate n.同班同学
classroom n.教室,课堂
claw n.爪,脚爪,螯
clay n.粘土,泥土;肉体
clean a.清洁的;纯洁的
clear a.清晰的 vt.清除
clearly ad.明白地,清晰地
clerk n.店员;办事员,职员
clever a.聪明的;机敏的
cliff n.悬崖,峭壁
climate n.气候;风土,地带
climb vi.攀登,爬 vt.爬
cloak n.斗篷;覆盖(物)
clock n.钟,仪表
close vt.关,闭;结束
closely ad.紧密地,接近地
cloth n.布;衣料;桌布
clothe vt.给…穿衣服
clothes n.衣服,服装;被褥
clothing n.衣服,被褥
cloud n.云;云状物;阴影
cloudy a.多云的;云一般的
club n.俱乐部,夜总会
clue n.线索,暗示,提示
clumsy a.笨拙的;愚笨的
coach n.长途公共汽车
coal n.煤,煤块
coarse a.粗的,粗糙的
coast n.海岸,海滨(地区)
coat n.外套,上衣;表皮
cock n.公鸡;雄禽;旋塞
code n.准则;法典;代码
coffee n.咖啡,咖啡茶
coil n.(一)卷;线圈 vt.卷
coin n.硬币;铸造(硬币)
cold a.冷的;冷淡的 n.冷
collapse vi.倒坍;崩溃,瓦解
collar n.衣领,项圈
colleague n.同事,同僚
collect vt.收集 vi.收款
collection n.搜集,收集;收藏品
collective a.集体的;集合性的
college n.学院;大学
collision n.碰撞;冲突
colonel n.陆军上校;中校
colony n.殖民地;侨居地
color n.颜色,彩色;颜料
column n.柱,支柱,圆柱
comb n.梳子 vt.梳理
combination n.结合,联合;化合
combine vt.使结合;兼有
come vi.来,来到;出现
comfort n.舒适;安慰 vt.安慰
comfortable a.舒适的,安慰的
command vt.命令,指挥;控制
commander n.司令官,指挥员
comment n.评论,意见;注释
commerce n.商业,贸易;社交
commercial a.商业的;商品化的
commission n.委任状;委员会
commit vt.犯(错误);干(坏事)
committee n.委员会;全体委员
common a.普通的;共同的
commonly ad.普通地,一般地
communicate vi.通讯;传达;传播
communication n.通讯;传达;交通
communism n.共产主义
communist n.共产党员
community n.社区;社会;公社
companion n.同伴;共事者;伴侣
company n.公司,商号;同伴
comparative a.比较的,相对的
compare vt.比较,对照;比作
comparison n.比较,对照;比似
compass n.罗盘,指南针;圆规
compel vt.强迫,迫使屈服
compete vi.比赛;竞争;对抗
competent a.有能力的;应该做的
competition n.竞争,比赛
compile vt.编辑,编制,搜集
complain vi.抱怨,拆苦;控告
complaint n.抱怨;怨言;控告
complete a.完整的;完成的
completely ad.十分,完全地
complex a.结合的;复杂的
complicate vt.使复杂;使陷入
complicated a.复杂的,难懂的
component n.组成部分;分;组件
compose vt.组成,构成;创作
composition n.构成;作品;写作
compound n.化合物;复合词
comprehension n.理解,理解力;领悟
comprehensive a.广泛的;理解的
compress vt.压紧,压缩
comprise vt.包含,包括;构成
compromise n.妥协,和解
compute vt.计算,估计,估算
computer n.计算机,电脑
comrade n.同志,亲密的同伴
conceal vt.把…隐藏起来
concentrate vt.集中;聚集;浓缩
concentration n.集中;专注;浓缩
concept n.概念,观念,设想
concern n.关心,挂念;关系
concerning prep.关于
concert n.音乐会,演奏会
conclude vt.推断出;结束
conclusion n.结论,推论;结尾
concrete n.混凝土;具体物
condemn vt.谴责,指责;判刑
condense vt.压缩,使缩短
condition n.状况,状态;环境
conduct n.举止,行为;指导
conductor n.售票员;(乐队)指挥
conference n.会议,讨论会
confess vt.供认,承认;坦白
confidence n.信任;信赖;信心
confident n.确信的,自信的
confine vt.限制;禁闭
confirm vt.证实,肯定;批准
conflict n.争论;冲突;斗争
confuse vt.使混乱,混淆
confusion n.混乱;骚乱;混淆
congratulate vt.祝贺,向…道喜
congratulation n.祝贺;祝贺词
congress n.大会;国会,议会
conjunction n.接合,连接;连接词
connect vt.连接,连结;联系
connection n.连接,联系;连贯性
conquer vt.征服,战胜;破除
conquest n.攻取,征服;克服
conscience n.良心,道德心
conscious a.意识到的;有意的
consciousness n.意识,觉悟;知觉
consent n.同意,赞成 vi.同意
consequence n.结果,后果
consequently ad.因此,因而,所以
conservation n.保存,保护;守恒
conservative a.保守的 n.保守的人
consider vt.认为;考虑;关心
considerable a.相当大的;重要的
considerate a.考虑周到的;体谅的
consideration n.考虑,思考;体贴
consist vi.由…组成;在于
consistent a.坚持的,一贯的
constant a.经常的;永恒的
constitution n.章程;体质;构造
construct vt.建造;建设;构筑
construction n.建造;建筑;建筑物
consult vt.请教,查阅
consume vt.消耗,消费;消灭
consumption n.消耗量;消耗
contact vt.使接触;与…联系
contain vt.包含,容纳;等于
container n.容器;集装箱
contemporary a.当代的,同时代的
contempt n.轻蔑;藐视;受辱
content n.内容,目录;容量
content a.满意的,满足的
contest vt.争夺,争取;辩驳
continent n.大陆;陆地;洲
continual a.不断的;连续的
continue vt.继续,连续;延伸
continuous a.连续不断的,持续的
contract n.契约,合同;婚约
contradiction n.矛盾,不一致;否认
contrary a.相反的 n.相反
contrast n.对比,对照,悬殊
contribute vt.捐献,捐助;投稿
control vt.控制,克制 n.控制
convenience n.便利,方便;厕所
convenient a.便利的;近便的
convention n.习俗,惯例;公约
conventional a.普通的;习惯的
conversation n.会话,非正式会谈
conversely ad.相反地
conversion n.转变,转化;改变
convert vt.使转变;使改变
convey vt.传送;运送;传播
convince vt.使确信,使信服
cook vt.烹调,煮 vt.烧菜
cool a.凉的,冷静的
cooperate vi.合作,协作;配合
coordinate vt.使协调,调节
cope vi.对付,应付
copper n.铜;铜币,铜制器
copy n.抄件 vt.抄写,复制
cord n.细绳,粗线,索
cordial a.真诚的,诚恳的
core n.果实的心,核心
corn n.谷物;(英)小麦
corner n.角;犄角;边远地区
corporation n.公司,企业;社团
correct a.正确的 vt.纠正
correction n.改正,纠正,修改
correspond vi.相符合;相当
correspondent n.通信者;通讯员
corresponding a.相应的;符合的
corridor n.走廊,回廊,通路
cost n.价格,代价;成本
costly a.昂贵的;价值高的
cottage n.村舍,小屋
cotton n.棉;棉线;棉布
cough vi.咳,咳嗽 n.咳嗽
could aux.v.(can的过去式)
council n.理事会,委员会
count vt.计算 vi.数,计数
counter n.柜台;计数器
country n.国家,国土;农村
countryside n.乡下,农村
county n.英国的郡,美国的县
couple n.夫妇;(一)对;几个
courage n.勇气,胆量,胆识
course n.课程;过程;一道菜
court n.法院,法庭;庭院
cousin n.堂(或表)兄弟(姐妹)
cover vt.盖,包括 n.盖子
cow n.母牛,奶牛;母兽
coward n.懦夫;胆怯者
crack n.裂缝,裂纹 vi.爆裂
craft n.工艺;手艺,行业
crane n.起重机,摄影升降机
crash vi.碰撞,坠落 n.碰撞
crawl vi.爬,爬行
crazy a.疯狂的,荒唐的
cream n.奶油,乳脂;奶油色
create vt.创造;引起,产生
creative a.创造性的,创作的
creature n.生物,动物,家畜
credit n.信用贷款;信用
creep vi.爬行;缓慢地行进
crew n.全体船员
cricket n.板球;蟋蟀
crime n.罪,罪行;犯罪
criminal n.犯人,罪犯,刑事犯
cripple n.跛子;残废的人
crisis n.危机;存亡之际
critic n.批评家,爱挑剔的人
critical a.决定性的;批评的
criticism n.批评;批判;评论
criticize vt.批评;评论;非难
crop n.农作物,庄稼;一熟
cross vt.穿过;使交*
crow n.鸦,乌鸦 vi.啼
crowd n.群;大众;一伙人
crown n.王冠,冕;花冠
crude a.简陋的;天然的
cruel a.残忍的,残酷的
crush vt.压碎,碾碎;镇压
crust n.面包皮;硬外皮
cry vi.哭,哭泣;叫喊
crystal n.水晶,结晶体;晶粒
cube n.立方形;立方
cubic a.立方形的;立方的
cucumber n.黄瓜
cultivate vt.耕;种植;培养
culture n.文化,文明;教养
cunning a.狡猾的,狡诈的
cup n.杯子;(一)杯;奖杯
cupboard n.碗柜,碗碟橱;食橱
cure vt.医治;消除 n.治愈
curiosity n.好奇,好奇心;珍品
curious a.好奇的;稀奇古怪的
curl n.卷毛;螺旋 vi.卷曲
current a.当前的;通用的
curse n.诅咒,咒骂;天谴
curtain n.帘,窗帘;幕(布)
curve n.曲线;弯 vt.弄弯
cushion n.垫子,坐垫,*垫
custom n.习惯,风俗;海关
customer n.顾客,主顾
cut vt.切,割,剪;减少
cycle n自行车,循环
daily a.每日的 n.日报
dairy n.牛奶场;乳制品
dam n.水坝,水堤;障碍物
damage vt.损害,毁坏 n.损害
damp a.潮湿的,有湿气的
